عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
مردود اعلام,117,101,action,اعلام ورشکستگی (0.74),واژه‌ی جدید,action
العاده,130,101,concept,عده (0.65),واژه‌ی جدید,concept
فوق العاده,130,101,concept,غیرقابل اغماض (0.68),واژه‌ی جدید,concept
لوایح تقدیمی,119,101,object,لایحه (0.68),واژه‌ی جدید,object
مقدار,195,101,concept,حد (0.70),واژه‌ی جدید,concept
ما نحن,115,101,concept,تعریف (0.55),واژه‌ی جدید,concept
شعب,134,101,object,شعبه دادگاه (0.60),واژه‌ی جدید,REMOVE
صلاحیت دادگاه,179,101,concept,صلاحیت (0.82),واژه‌ی جدید,concept
ابلاغ شده,122,101,action,استعلام (0.70),واژه‌ی جدید,action
امعان نظر,105,101,role,صاحب‌نظر (0.65),واژه‌ی جدید,role
قائم,183,101,object,موقوفه (0.59),واژه‌ی جدید,object
قرائن,121,101,concept,قرابت (0.68),واژه‌ی جدید,concept
این شرح,109,101,object,یادداشت (0.60),واژه‌ی جدید,object
از عقد,224,101,concept,عقد (0.84),واژه‌ی جدید,concept
واحده,148,101,role,واحد حقوقی (0.75),واژه‌ی جدید,role
ارائه نگردیده,116,101,action,عدم حضور (0.69),واژه‌ی جدید,action
صادرشده است,116,101,action,صادر کردن گواهی (0.69),واژه‌ی جدید,action
چیزی,134,101,object,قضیه (0.72),واژه‌ی جدید,object
آیا,201,101,principle,طبق قانون (0.58),واژه‌ی جدید,REMOVE
را انجام,147,101,object,موصى به (0.68),واژه‌ی جدید,object
تبصره الحاقی,156,101,object,تبصره (0.87),alias پیشنهادی برای «تبصره»,object
ردّ دعوی,145,101,concept,دعوی نفی مالکیت (0.76),واژه‌ی جدید,concept
رسیدگی قرار,112,100,action,رسیدگی (0.90),alias پیشنهادی برای «رسیدگی»,action
زوجه می,122,100,concept,ازدواج (0.62),واژه‌ی جدید,concept
در حد,116,100,concept,حد (0.81),واژه‌ی جدید,concept
گزارش عضو,101,100,action,گزارش‌گیری (0.79),واژه‌ی جدید,action
صرفنظر از,118,100,principle,فقط در صورت (0.71),واژه‌ی جدید,principle
پیوست دادخواست,119,100,object,دادخواست (0.82),واژه‌ی جدید,object
به قرار,129,100,action,قرار (0.80),واژه‌ی جدید,action
عمومی دیوان,137,100,role,دیوان عدالت اداری (0.76),واژه‌ی جدید,role
رسمی دادگستری,124,100,role,واحد دادگستری (0.76),واژه‌ی جدید,role
با تعیین,131,100,principle,طبق قانون (0.75),واژه‌ی جدید,principle
اقامه نشده,102,100,concept,غیرمستند (0.68),واژه‌ی جدید,concept
بررسی محتویات,107,100,action,بررسی (0.77),واژه‌ی جدید,action
در ضمن,129,100,principle,طبق قانون (0.69),واژه‌ی جدید,REMOVE
می گیرد,121,100,action,گرفتن (0.79),واژه‌ی جدید,action
ناحیه تجدیدنظرخواه,112,100,concept,قابل تجدیدنظر (0.71),واژه‌ی جدید,concept
قرارداد عادی,141,100,object,قرارداد (0.78),واژه‌ی جدید,object
توجهی,105,100,principle,احتیاط (0.73),واژه‌ی جدید,principle
زیرا رأی,105,100,object,رأی (0.74),واژه‌ی جدید,object
کتبی آقای,100,100,object,شهادت کتبی (0.76),واژه‌ی جدید,object
دستگاه آپارتمان,160,100,object,لوازم (0.61),واژه‌ی جدید,object
سرانجام,130,99,object,رای نهایی (0.69),واژه‌ی جدید,object
جلسات,137,99,object,جلسه (0.88),alias پیشنهادی برای «جلسه»,object
اصرار,126,99,concept,اراده (0.70),واژه‌ی جدید,concept
مورد رسیدگی,111,99,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»,action
مطالبه نفقه,156,99,concept,نفقه (0.81),واژه‌ی جدید,concept
دادخواست فرجامی,130,99,object,دادخواست (0.75),واژه‌ی جدید,object
عقدنامه,148,99,object,عهدنامه (0.79),واژه‌ی جدید,object
از رأی,136,99,object,رأی (0.86),واژه‌ی جدید,object
رسیده است,115,99,object,رسید (0.82),واژه‌ی جدید,object
موضوع دادنامه,104,99,object,دادخواست (0.77),واژه‌ی جدید,object
برای دادگاه,113,99,action,ورود به دادگاه (0.80),واژه‌ی جدید,action
مرد,150,99,concept,شخص (0.79),واژه‌ی جدید,REMOVE
مورد نظر,124,99,object,یادداشت (0.75),واژه‌ی جدید,REMOVE
بصورت,135,99,principle,طبق قانون (0.72),واژه‌ی جدید,principle
پرونده پس,107,99,object,پرونده (0.79),واژه‌ی جدید,object
نفقه زوجه,153,99,concept,نفقه (0.86),واژه‌ی جدید,concept
آن ها,221,99,role,اهل (0.61),واژه‌ی جدید,role
آن قسمت,122,99,object,قضیه (0.66),واژه‌ی جدید,object
ابلاغ، قابل,113,99,concept,قابل اجرا بودن (0.67),واژه‌ی جدید,concept
مترتب,116,98,role,محتسب (0.67),واژه‌ی جدید,role
ایشان را,128,98,role,موصی له (0.68),واژه‌ی جدید,REMOVE
طلاق را,147,98,concept,طلاق (0.85),واژه‌ی جدید,concept
به ان,163,98,object,اعیان (0.60),واژه‌ی جدید,object
تقاضای رد,113,98,action,رد (0.74),واژه‌ی جدید,action
نحن فیه,112,98,action,طی تفاهم (0.59),واژه‌ی جدید,action
استنکاف,117,98,action,استیناف (0.83),واژه‌ی جدید,action
نظرخواهی,113,98,object,رای مشورتی (0.78),واژه‌ی جدید,object
غیر قابل,129,98,concept,غیرممکن (0.89),alias پیشنهادی برای «غیرممکن»,concept
پسندی,99,98,concept,تمایل (0.63),واژه‌ی جدید,concept
پایه,130,98,concept,پایه‌گذاری حق (0.62),واژه‌ی جدید,concept
صادره را,116,98,action,صادر کردن حکم (0.68),واژه‌ی جدید,action
از دادرسی,101,98,concept,دادرسی (0.84),واژه‌ی جدید,concept
به زندگی,146,98,concept,حق زندگی (0.65),واژه‌ی جدید,concept
متقاضی,132,98,object,طلب (0.74),واژه‌ی جدید,object
نامبرده به,105,98,role,محکوم‌علیه (0.72),واژه‌ی جدید,role
لذا ضمن,100,98,principle,طبق قانون (0.65),واژه‌ی جدید,REMOVE
عمدی,256,98,concept,خطای عمدی (0.85),واژه‌ی جدید,concept
شوند,126,98,action,حصول (0.62),واژه‌ی جدید,REMOVE
ششم,154,98,role,شخص ثالث (0.57),واژه‌ی جدید,REMOVE
تجدیدنظرخواندگان,174,98,concept,تجدیدنظر (0.79),واژه‌ی جدید,concept
اجتماعی,170,98,concept,وضعیت اجتماعی (0.73),واژه‌ی جدید,concept
شرط ضمن,192,98,concept,شرط (0.84),واژه‌ی جدید,concept
ارائه نداده,106,98,concept,نبود صلاحیت (0.70),واژه‌ی جدید,concept
مؤثر در,116,98,concept,مداخله (0.65),واژه‌ی جدید,concept
فقهی,130,98,principle,قضائی (0.68),واژه‌ی جدید,principle
لذا مستنداً,104,98,principle,طبق قانون (0.68),واژه‌ی جدید,principle
اساس محتویات,98,98,object,اساسنامه (0.64),واژه‌ی جدید,object
رأی بر,108,98,object,رأی (0.91),alias پیشنهادی برای «رأی»,object
نیاورده است,101,97,action,عدم حضور (0.69),واژه‌ی جدید,action
میلیارد,165,97,object,واحد پول (0.64),واژه‌ی جدید,object
حاصله از,108,97,action,مأخوذ (0.67),واژه‌ی جدید,action
مدتی,118,97,concept,بذل مدت (0.70),واژه‌ی جدید,concept
قانونی اصدار,98,97,principle,قانونی (0.71),واژه‌ی جدید,principle
مؤثری,105,97,concept,مداخله (0.65),واژه‌ی جدید,concept
به نحوی,108,97,principle,طبق قانون (0.69),واژه‌ی جدید,principle
مطرح شده,117,97,action,پیشنهاد (0.73),واژه‌ی جدید,action
شرح فوق,104,97,object,دلایل تکمیلی (0.66),واژه‌ی جدید,object
ارجاع به,135,97,action,ارجاع (0.90),alias پیشنهادی برای «ارجاع»,action
ساخت,171,97,action,تأسیس (0.69),واژه‌ی جدید,action
توافقی,138,97,concept,توافق (0.88),alias پیشنهادی برای «توافق»,concept
منقوض,107,97,concept,معوض (0.72),واژه‌ی جدید,concept
به همان,110,97,principle,طبق قانون (0.67),واژه‌ی جدید,principle
خواهان نیز,102,97,role,اصحاب دعوی (0.74),واژه‌ی جدید,role
البته,126,97,principle,طبق قانون (0.63),واژه‌ی جدید,principle
مطالعه,101,97,action,بررسی (0.74),واژه‌ی جدید,action
در نهایت,123,97,object,رای نهایی (0.66),واژه‌ی جدید,object
معترض دادنامه,97,97,action,اعتراض (0.78),واژه‌ی جدید,action
شدید,168,97,action,جدیت (0.67),واژه‌ی جدید,action
به انتقال,140,97,action,نقل (0.80),واژه‌ی جدید,action
صراحتاً,122,97,action,تأیید (0.65),واژه‌ی جدید,action
مدنی حکم,106,96,object,حکم (0.75),واژه‌ی جدید,object
پزشک,185,96,role,نویسنده (0.66),واژه‌ی جدید,role
هفته,123,96,object,هفتگی (0.84),واژه‌ی جدید,object
تجدیدنظرخواهان,182,96,concept,تجدیدنظر (0.82),واژه‌ی جدید,concept
که حاکی,103,96,concept,ادعا (0.62),واژه‌ی جدید,concept
ماه از,108,96,concept,خارج از موضوع (0.56),واژه‌ی جدید,concept
زوجیت دائم,104,96,concept,ازدواج (0.69),واژه‌ی جدید,concept
اثبات ادعای,102,96,object,دلایل اثبات دعوی (0.85),واژه‌ی جدید,object
آراء,121,96,object,رأی (0.78),واژه‌ی جدید,object
صورت نگرفته,113,96,concept,غیرمستند (0.69),واژه‌ی جدید,concept
متنازع,120,96,concept,غیرقابل اثبات (0.71),واژه‌ی جدید,concept
سال از,125,96,role,مضمون (0.62),واژه‌ی جدید,role
اینک,106,96,object,عین (0.58),واژه‌ی جدید,object
دادسرای عمومی,194,96,concept,دادرسی (0.71),واژه‌ی جدید,concept
نیاز به,112,96,concept,نیاز (0.83),واژه‌ی جدید,concept
هفتم,167,96,object,هفتگی (0.66),واژه‌ی جدید,object
ویژه,126,96,role,گروه خاص (0.78),واژه‌ی جدید,role
خواسته مشاوره,96,96,action,مشاوره (0.84),واژه‌ی جدید,action
مشاعی,236,96,object,مشاع (0.83),واژه‌ی جدید,object
احد از,136,96,concept,شخص (0.60),واژه‌ی جدید,concept
جمیع اوراق,103,96,object,اوراق قرضه (0.66),واژه‌ی جدید,object
نماید ابراز,96,96,action,تحریر اظهارات (0.66),واژه‌ی جدید,action
بشرح دادخواست,113,95,object,دادخواست (0.81),واژه‌ی جدید,object
استشهادیه,136,95,action,استشهاد (0.87),واژه‌ی جدید,action
در ما,109,95,principle,طبق قانون (0.57),واژه‌ی جدید,REMOVE
بدواً,111,95,concept,عده (0.61),واژه‌ی جدید,concept
مبتنی,115,95,role,وابسته (0.67),واژه‌ی جدید,role
تعرفه قانونی,104,95,object,هزینه‌های قانونی (0.83),واژه‌ی جدید,object
این مورد,112,95,concept,شخص (0.66),واژه‌ی جدید,REMOVE
اینکه وکیل,104,95,role,وکیل (0.80),واژه‌ی جدید,role
که توسط,107,95,principle,طبق قانون (0.64),واژه‌ی جدید,principle
تکالیف,143,95,concept,صلاحیت (0.67),واژه‌ی جدید,concept
سوابق,143,95,concept,سابقه حقوقی (0.66),واژه‌ی جدید,concept
اظهار نظر,124,95,role,صاحب‌نظر (0.77),واژه‌ی جدید,role
وکیل محترم,146,95,role,وکیل (0.80),واژه‌ی جدید,role
به ایشان,122,95,role,موصی له (0.70),واژه‌ی جدید,role
می رسد,105,95,object,رسید (0.80),واژه‌ی جدید,object
به تحمل,178,95,concept,تحمل مسئولیت (0.76),واژه‌ی جدید,concept
پرداختی,127,95,action,پرداخت (0.94),alias پیشنهادی برای «پرداخت»,action
قرار می,117,95,action,قرار (0.77),واژه‌ی جدید,action
موضوع پرونده,118,95,object,پرونده (0.84),واژه‌ی جدید,object
به تحویل,178,95,action,تحویل حکم (0.78),واژه‌ی جدید,action
بدهد,129,95,action,بذل (0.71),واژه‌ی جدید,action
واحد آپارتمان,170,95,role,واحد دادگستری (0.77),واژه‌ی جدید,role
معاشرت,173,95,concept,وضعیت اجتماعی (0.62),واژه‌ی جدید,concept
ندارد،,100,95,action,عدم حضور (0.65),واژه‌ی جدید,action
در مرجع,108,95,action,ارجاع (0.67),واژه‌ی جدید,action
فسخ نکاح,561,95,action,فسخ (0.83),واژه‌ی جدید,action
تجدیدنظرخواه دلیل,95,95,concept,تجدیدنظر (0.78),واژه‌ی جدید,concept
رأی حضوری,96,95,object,رأی (0.76),واژه‌ی جدید,object
نیافته,105,94,concept,غیرمستقل (0.61),واژه‌ی جدید,concept
افزایش,181,94,concept,پیشرفت (0.67),واژه‌ی جدید,concept
مشهود,125,94,object,مشاع (0.67),واژه‌ی جدید,object
موکل را,125,94,role,موصی له (0.63),واژه‌ی جدید,role
ادعای خود,98,94,concept,ادعا (0.84),واژه‌ی جدید,concept
جهت اثبات,105,94,concept,ثبوت (0.80),واژه‌ی جدید,concept
در حکم,108,94,object,حکم (0.81),واژه‌ی جدید,object
مثبت,114,94,action,ایجاب (0.75),واژه‌ی جدید,action
موعد,136,94,action,تقویم (0.70),واژه‌ی جدید,action
شروط ضمن,183,94,concept,شرط (0.76),واژه‌ی جدید,concept
ابطال سند,212,94,action,فسخ (0.74),واژه‌ی جدید,action
نقض می,98,94,action,نقض (0.85),واژه‌ی جدید,action
بوده اند,109,94,concept,عده (0.66),واژه‌ی جدید,REMOVE
مهریه را,135,94,object,ارثیه (0.65),واژه‌ی جدید,object
دادگاه نظر,99,94,concept,نظر دادگاه (0.87),واژه‌ی جدید,concept
حسب محتویات,100,94,principle,طبق قانون (0.75),واژه‌ی جدید,principle
ممکن است,112,94,concept,مظنه (0.67),واژه‌ی جدید,concept
اطلاع از,130,94,action,استعلام (0.79),واژه‌ی جدید,action
به اخذ,119,94,action,گرفتن (0.83),واژه‌ی جدید,action
احمد,112,94,object,وام (0.57),واژه‌ی جدید,object
پرداخت خسارات,114,94,action,جبران خسارت (0.85),واژه‌ی جدید,action
حقیقت,116,94,concept,حق (0.75),واژه‌ی جدید,concept
ماده واحده,139,94,role,واحد حقوقی (0.74),واژه‌ی جدید,role
گسیختن,94,94,concept,لغزش (0.63),واژه‌ی جدید,concept
ابلاغ رأی,124,94,object,رأی (0.75),واژه‌ی جدید,object
آپارتمان به,148,94,object,شماره املاک (0.63),واژه‌ی جدید,object
آن صحیح,94,94,role,صاحب‌حق (0.68),واژه‌ی جدید,role
عملیات,162,93,action,تصرف (0.67),واژه‌ی جدید,action
دادرسی با,102,93,concept,دادرسی (0.84),واژه‌ی جدید,concept
قانونی بوده,106,93,concept,قانونی بودن (0.89),alias پیشنهادی برای «قانونی بودن»,concept
فرجامخواسته,173,93,action,فرجام (0.72),واژه‌ی جدید,action
خدشه ای,102,93,concept,ضایعه (0.74),واژه‌ی جدید,concept
تحت عنوان,106,93,principle,طبق قانون (0.70),واژه‌ی جدید,principle
است فلذا,102,93,principle,طبق قانون (0.58),واژه‌ی جدید,principle
وکیل طبق,105,93,principle,طبق قانون (0.77),واژه‌ی جدید,principle
در مورخ,176,93,principle,طبق قانون (0.64),واژه‌ی جدید,principle
ودر,116,93,principle,طبق قانون (0.54),واژه‌ی جدید,REMOVE
وکیل در,104,93,role,وکیل (0.87),واژه‌ی جدید,role
یا خیر,141,93,concept,صالح بودن (0.55),واژه‌ی جدید,concept
خواهان می,103,93,object,طلب (0.76),واژه‌ی جدید,object
صادره غیابی,96,93,concept,غیابی (0.76),واژه‌ی جدید,concept
حدی,110,93,concept,حد (0.90),alias پیشنهادی برای «حد»,REMOVE
رابعاً,104,93,concept,ادله اربعه (0.61),واژه‌ی جدید,concept
به تجویز,98,93,action,پیشنهاد (0.79),واژه‌ی جدید,action
مجتمع,117,93,principle,محیط (0.69),واژه‌ی جدید,principle
مذکور از,101,93,principle,لحاظ (0.66),واژه‌ی جدید,principle
رسمی به,105,93,concept,رسمیت (0.71),واژه‌ی جدید,concept
عرفی,134,93,concept,عرف (0.83),واژه‌ی جدید,concept
سیصد,145,93,role,قاصد (0.59),واژه‌ی جدید,role
چهل,137,92,concept,خمس (0.60),واژه‌ی جدید,REMOVE
سه ماه,113,92,concept,ثلث (0.62),واژه‌ی جدید,concept
ایام زندگی,179,92,concept,احوال (0.58),واژه‌ی جدید,concept
اعتراض موجه,92,92,action,اعتراض (0.83),واژه‌ی جدید,action
بلحاظ عدم,110,92,action,عدم حضور (0.68),واژه‌ی جدید,action
دهم,157,92,role,شخص ثالث (0.58),واژه‌ی جدید,REMOVE
وانقلاب,105,92,action,تغییر (0.63),واژه‌ی جدید,action
عمومی وانقلاب,105,92,object,حق‌التحریر (0.65),واژه‌ی جدید,object
اقامت,210,92,object,عقد اجاره (0.60),واژه‌ی جدید,object
بررسی اوراق,102,92,action,بررسی (0.77),واژه‌ی جدید,action
خواهان دعوی,163,92,role,اصحاب دعوی (0.87),واژه‌ی جدید,role
بنا بر,110,92,principle,طبق قانون (0.76),واژه‌ی جدید,principle
قطع نظر,97,92,action,تجدید نظر (0.68),واژه‌ی جدید,action
قرار گیرد,105,92,action,وضع (0.73),واژه‌ی جدید,action
طلاق از,122,92,concept,طلاق (0.88),alias پیشنهادی برای «طلاق»,concept
زوجه نیز,113,92,action,مرافقه (0.63),واژه‌ی جدید,action
ها به,124,92,concept,هبه (0.70),واژه‌ی جدید,concept
باقیمانده,131,92,concept,مؤجل (0.66),واژه‌ی جدید,concept
باعث,114,92,concept,سبب (0.86),واژه‌ی جدید,concept
از سال,146,92,role,مضمون (0.60),واژه‌ی جدید,role
درباره,146,92,concept,خارج از موضوع (0.73),واژه‌ی جدید,concept
پسر,120,92,role,کودک (0.75),واژه‌ی جدید,REMOVE
مسلم است,97,92,concept,شخص (0.62),واژه‌ی جدید,concept
کمتر,113,92,concept,کاهش (0.79),واژه‌ی جدید,concept
در انجام,133,92,action,طی آگهی (0.73),واژه‌ی جدید,action
نفقه از,129,92,concept,نفقه (0.81),واژه‌ی جدید,concept
آید,104,92,object,رسید (0.67),واژه‌ی جدید,REMOVE
بودند,145,92,concept,عده (0.66),واژه‌ی جدید,concept
می‌دهد,144,92,role,وام‌دهنده (0.69),واژه‌ی جدید,role
معترض‌عنه,115,92,action,اعتراض (0.82),واژه‌ی جدید,action
مستندات آن,92,92,object,مستندات (0.84),واژه‌ی جدید,object
از ازدواج,141,92,concept,ازدواج (0.84),واژه‌ی جدید,concept
بر همین,99,91,principle,طبق قانون (0.63),واژه‌ی جدید,principle
جامع اوراق,100,91,object,اوراق قرضه (0.69),واژه‌ی جدید,object
امده,164,91,object,رسید (0.78),واژه‌ی جدید,object
بخواسته صدور,102,91,action,صادر کردن حکم (0.75),واژه‌ی جدید,action
یک سال,130,91,object,واحد پول (0.64),واژه‌ی جدید,object
طلاق با,120,91,concept,طلاق (0.87),واژه‌ی جدید,concept
درحالی,114,91,action,طی روند دادرسی (0.67),واژه‌ی جدید,action
اخطاریه,121,91,action,اخطار (0.89),alias پیشنهادی برای «اخطار»,action
موکلین,243,91,action,توکیل (0.55),واژه‌ی جدید,action
به پرونده,106,91,object,پرونده (0.82),واژه‌ی جدید,object
دادگستری شهرستان,105,91,role,واحد دادگستری (0.75),واژه‌ی جدید,role
بین زوجین,113,91,concept,ازدواج (0.67),واژه‌ی جدید,concept
با هیچیک,91,91,concept,بی‌دلیل (0.64),واژه‌ی جدید,concept
ای از,107,91,concept,خارج از موضوع (0.62),واژه‌ی جدید,concept
امضای,123,91,action,امضاء (0.98),alias پیشنهادی برای «امضاء»,action
شش ماه,120,91,concept,دوره محکومیت (0.55),واژه‌ی جدید,concept
زیرا اولاً,96,91,concept,علت (0.63),واژه‌ی جدید,concept
محکومیت زوج,121,91,concept,محکومیت (0.79),واژه‌ی جدید,concept
قانون اصلاح,126,91,action,اصلاح ذات‌البین (0.69),واژه‌ی جدید,action
بر رد,102,91,action,رد (0.80),واژه‌ی جدید,action
ملک را,132,91,action,ورود به ملک (0.66),واژه‌ی جدید,action
علت عدم,105,91,concept,علت (0.76),واژه‌ی جدید,concept
حیدری,122,91,action,عید (0.53),واژه‌ی جدید,action
کارهای,211,90,object,شغل (0.74),واژه‌ی جدید,object
پرداخت نموده,114,90,action,پرداخت (0.84),واژه‌ی جدید,action
مشعر,129,90,role,محيل (0.59),واژه‌ی جدید,role
مجموع اوراق,91,90,object,اوراق بهادار (0.64),واژه‌ی جدید,object
مغایر با,101,90,concept,مغایرت (0.83),واژه‌ی جدید,concept
بطلان دعوای,103,90,concept,بطلان (0.76),واژه‌ی جدید,concept
رأی در,101,90,object,رأی (0.89),alias پیشنهادی برای «رأی»,object
تقدیم دادگاه,111,90,action,ورود به دادگاه (0.79),واژه‌ی جدید,action
در شرح,96,90,action,طی آگهی (0.66),واژه‌ی جدید,action
استناد قسمت,92,90,action,ارجاع (0.71),واژه‌ی جدید,action
تقابل,385,90,concept,تراضی (0.68),واژه‌ی جدید,concept
جریان پرونده,94,90,action,طی روند دادرسی (0.83),واژه‌ی جدید,action
چک به,157,90,object,چک (0.85),واژه‌ی جدید,object
به مرجع,108,90,action,ارجاع (0.72),واژه‌ی جدید,action
درصد,212,90,concept,نسبت (0.67),واژه‌ی جدید,concept
کارشناس رسمی,112,90,concept,شخص حقیقی (0.68),واژه‌ی جدید,concept
جز,100,90,concept,جزيه (0.87),واژه‌ی جدید,REMOVE
اعتراض موجهی,91,90,action,اعتراض (0.82),واژه‌ی جدید,action
به اجرای,110,90,concept,زمان اجرا (0.72),واژه‌ی جدید,concept
نمی توان,105,90,concept,غیرممکن (0.82),واژه‌ی جدید,concept
پدرش,140,90,role,والدین (0.69),واژه‌ی جدید,role
دلایلی که,91,90,concept,علت (0.78),واژه‌ی جدید,concept
نظریه پزشکی,154,90,concept,نظریه مشورتی (0.69),واژه‌ی جدید,concept
می‌کند,175,90,concept,شخص (0.67),واژه‌ی جدید,REMOVE
حاضر نشده,92,89,action,عدم حضور (0.84),واژه‌ی جدید,action
تشکیل گردیده,102,89,action,تأسیس (0.70),واژه‌ی جدید,action
خواسته در,105,89,object,طلب (0.76),واژه‌ی جدید,object
بعلاوه,107,89,object,تبصره (0.64),واژه‌ی جدید,object
معرفی نموده,104,89,action,پیشنهاد (0.69),واژه‌ی جدید,action
بنابر,112,89,role,نایب (0.51),واژه‌ی جدید,role
صادرواعلام,102,89,action,استعلام (0.70),واژه‌ی جدید,action
خواهانها,269,89,object,طلب (0.71),واژه‌ی جدید,object
مدنی،,126,89,principle,حقوق مدنی (0.72),واژه‌ی جدید,principle
به جمیع,92,89,concept,عده (0.64),واژه‌ی جدید,concept
نگردید,106,89,concept,غیرمستند (0.57),واژه‌ی جدید,concept
اذعان,101,89,concept,اذن (0.75),واژه‌ی جدید,concept
را نسبت,102,89,concept,نسبت (0.81),واژه‌ی جدید,REMOVE
موجبی برای,92,89,concept,سبب (0.75),واژه‌ی جدید,concept
دعوی مطالبه,109,89,concept,دعوی (0.86),واژه‌ی جدید,concept
مهر,179,89,object,مهر دفترخانه (0.70),واژه‌ی جدید,REMOVE
می کنند,111,89,action,زیر سوال بردن (0.64),واژه‌ی جدید,REMOVE
ارژنگی,94,89,action,واجگاری (0.55),واژه‌ی جدید,action
وبا,106,89,concept,صحت (0.58),واژه‌ی جدید,REMOVE
وکلای خواهان,144,89,role,اصحاب دعوی (0.78),واژه‌ی جدید,role
ننموده لذا,89,89,action,انکار (0.58),واژه‌ی جدید,action
حضوری محسوب,92,89,action,عدم حضور (0.69),واژه‌ی جدید,action
نموده‌اند,163,89,action,تصرف (0.63),واژه‌ی جدید,REMOVE
درآمده,113,89,concept,مداخله (0.65),واژه‌ی جدید,concept
وی صادر,98,88,role,صادرکننده (0.63),واژه‌ی جدید,role
مدلل,94,88,object,ادله (0.68),واژه‌ی جدید,object
حضانت فرزند,197,88,concept,حضانت (0.86),واژه‌ی جدید,concept
خواه در,113,88,object,طلب (0.60),واژه‌ی جدید,object
داخل,229,88,concept,مداخله (0.68),واژه‌ی جدید,concept
تکلیفی,96,88,concept,تکلیف (0.88),alias پیشنهادی برای «تکلیف»,concept
تجدیدنظرخواسته به,89,88,concept,تجدیدنظر (0.84),واژه‌ی جدید,concept
ازتاریخ,120,88,role,مضمون (0.63),واژه‌ی جدید,role
متداعیین,112,88,role,متبایع (0.67),واژه‌ی جدید,role
خلاصه جریان,92,88,action,جمع‌بندی (0.63),واژه‌ی جدید,action
نشد,118,88,concept,نبود صلاحیت (0.71),واژه‌ی جدید,REMOVE
در همان,110,88,principle,طبق قانون (0.64),واژه‌ی جدید,REMOVE
از منزل,118,88,concept,شخص (0.65),واژه‌ی جدید,concept
بهای,177,88,concept,بهای رسمی (0.72),واژه‌ی جدید,concept
وارده به,126,88,concept,مداخله (0.74),واژه‌ی جدید,concept
کرمی,97,88,concept,قهری (0.56),واژه‌ی جدید,concept
هشت,130,88,concept,عده (0.57),واژه‌ی جدید,REMOVE
نظر خواسته,115,88,object,طلب (0.73),واژه‌ی جدید,object
ورثه,228,88,object,ارثیه (0.79),واژه‌ی جدید,object
ایشان به,98,88,role,موصی له (0.64),واژه‌ی جدید,role
یا بی,88,88,role,ولی (0.57),واژه‌ی جدید,role
موصوف به,91,88,role,موصی له (0.73),واژه‌ی جدید,role
قانونی ندارد,100,88,concept,غیرقانونی (0.78),واژه‌ی جدید,concept
دفتر رسمی,99,88,object,دفتر اسناد رسمی (0.83),واژه‌ی جدید,object
خواهان خانم,97,88,object,طلب (0.75),واژه‌ی جدید,object
به قصد,137,88,concept,قصد (0.82),واژه‌ی جدید,concept
محاکم عمومی,124,88,principle,حقوق عمومی (0.74),واژه‌ی جدید,principle
ظهر,202,88,role,ظهرنویس (0.74),واژه‌ی جدید,REMOVE
می‌تواند,113,88,concept,مظنه (0.65),واژه‌ی جدید,concept
به سبب,126,87,concept,سبب (0.85),واژه‌ی جدید,concept
خودرو,318,87,object,وسائل نقلیه (0.76),واژه‌ی جدید,object
تمام بهار,165,87,concept,کامل (0.63),واژه‌ی جدید,concept
استماع شهادت,127,87,object,شهادت کتبی (0.77),واژه‌ی جدید,object
به رای,140,87,object,رأی (0.81),واژه‌ی جدید,object
تعرفه شده,116,87,object,تعرفه (0.82),واژه‌ی جدید,object
باعنایت,97,87,action,جدیت (0.67),واژه‌ی جدید,action
به شرط,129,87,concept,شرط (0.86),واژه‌ی جدید,concept
برای رسیدگی,128,87,action,رسیدگی (0.87),واژه‌ی جدید,action
مدیر,182,87,role,مدیر حقوقی (0.80),واژه‌ی جدید,role
بوده،,105,87,concept,ملزم بودن (0.59),واژه‌ی جدید,concept
بر فسخ,129,87,action,فسخ (0.87),واژه‌ی جدید,action
زاده,92,87,concept,زکات (0.59),واژه‌ی جدید,concept
به کارشناسی,115,87,concept,نظریه کارشناسی (0.73),واژه‌ی جدید,concept
مبلغ یک,125,87,object,واحد پول (0.76),واژه‌ی جدید,object
رسیدگی دلیل,87,87,action,رسیدگی (0.85),واژه‌ی جدید,action
ضمن اینکه,102,87,principle,طبق قانون (0.64),واژه‌ی جدید,REMOVE
تبصره ذیل,102,87,object,تبصره (0.81),واژه‌ی جدید,object
به کلاسه,126,87,concept,کلاس (0.75),واژه‌ی جدید,concept
قبیل,95,87,action,قسم (0.59),واژه‌ی جدید,action
نیم,134,87,concept,شبه عقد (0.69),واژه‌ی جدید,REMOVE
اعتراضیه متضمن,87,87,action,اعتراض (0.80),واژه‌ی جدید,action
قابل استماع,106,87,action,گوش به زنگ بودن (0.72),واژه‌ی جدید,action
اصلی بخش,152,87,object,بخش‌نامه (0.66),واژه‌ی جدید,object
آخر,112,87,object,رای نهایی (0.63),واژه‌ی جدید,REMOVE
که طبق,103,87,principle,طبق قانون (0.81),واژه‌ی جدید,principle
الزام خواندگان,119,87,role,اصحاب دعوی (0.68),واژه‌ی جدید,role
است نه,96,87,action,نفی (0.60),واژه‌ی جدید,action
